#frmMstItem																																		
																																		
																																		
#ITEMID	ITEMCODE	ITEMNAME	DESCRIPTION	UOM	UOM	CONVFACTOR	REOL	REOQ	MIN_QTY	MAX_QTY	ITEMTYPE	ITEMSTDRATE	BUYINGRATE	ITEMGROUPID	ITEMSUBGROUPID	INACTIVE	DATEADDED	DATECHANGED	ADDEDBY	CHANGEDBY	IMAGENAME	TAXPER	REFRATE	TAX	ITEMMRP	SELLDISC	ITEM_PACKING	SUBHEADING	GROUPCODE	SUBGROUPCODE	TAXTYPE	BARCODE	SUPID	BRAND
4362	5219	WICKETS SET SG	WICKETS SET SG	NOS	NOS	1	0	0	0	0	F	849	580	CRICKET	CRICKET PADS	N	04-Dec-13	04-Dec-13	ADMIN			0	0	5.5	849	10					I		0	
4361	5218	CR HELMET SS	CR HELMET SS	NOS	NOS	1	0	0	0	0	F	960	490	CRICKET	SG	N	04-Dec-13	04-Dec-13	ADMIN			0	0	5.5	960	10					I		0	
4360	5217	CRWK GLOVES SG TEST	CRWK GLOVES SG TEST	NOS	NOS	1	0	0	0	0	F	2199	1580	CRICKET	CRICKET PADS	N	04-Dec-13	04-Dec-13	ADMIN			0	0	5.5	2199	5					I		0	
4359	5216	CRBG SG TEST	CRBG SG TEST	NOS	NOS	1	0	0	0	0	F	1699	1020	CRICKET	SG	N	04-Dec-13	04-Dec-13	ADMIN			0	0	5.5	1699	10					I		0	
4358	5215	CRBT RNS ENGLISH WILLOW	CRBT RNS ENGLISH WILLOW	NOS	NOS	1	0	0	0	0	F	5449	1750	CRICKET  ACC	SG	N	04-Dec-13	04-Dec-13	ADMIN			0	0	5.5	5449	10					I		0	
4357	5214	CRBT SG SUPER COVER	CRBT SG SUPER COVER	NOS	NOS	1	0	0	0	0	F	2499	1500	CRICKET  ACC	SG	N	04-Dec-13	04-Dec-13	ADMIN			0	0	5.5	2449	10					I		0	
4356	5213	VOLLEYBALL ANTENNA	VOLLEYBALL ANTENNA	NOS	NOS	1	0	0	0	0	F	1000	400	VOLLY BALL	OTHERS V	N	04-Dec-13	04-Dec-13	ADMIN			0	0	5.5	1000	10					I		0	
4355	5212	VOLLEYBALL COSCO ACCLAIM	VOLLEYBALL COSCO ACCLAIM	NOS	NOS	1	0	0	0	0	F	750	500	VOLLY BALL	OTHERS V	N	04-Dec-13	04-Dec-13	ADMIN			0	0	5.5	750	10					I		0	
4354	5211	FOOT BALL ADIDAS CHAMPIONS	FOOT BALL ADIDAS CHAMPIONS	NOS	NOS	1	0	0	0	0	F	1599	1180	FOOT BALL	GOODS	N	04-Dec-13	04-Dec-13	ADMIN			0	0	5.5	1599	20					I		0	
4353	5210	SHOES BADN 22	SHOES BADN 22	PAIR	PAIR	1	0	0	0	1	F	1449	830	SHOE	LOTTO SHOES	N	03-Dec-13	03-Dec-13	ADMIN			14.5	0	14.5	1449	10					I	bd-1001-100	0	
4352	5209	NET VOLEY VBC-30	NET VOLEY VBC-30	NOS	NOS	1	0	0	0	0	F	630	300	OTHERS	GOODS	N	03-Dec-13	03-Dec-13	ADMIN			2	0	5.5	630	10					I	vbc-30	134	
4351	5208	NET VOLLEY VBC-29	NET VOLLEY VBC-29	NOS	NOS	1	0	0	0	0	F	580	290	OTHERS	GOODS	N	03-Dec-13	03-Dec-13	ADMIN			2	0	5.5	580	10					I	vbc-29	134	
4350	5207	NET VOLLEY VBC-22	NET VOLLEY VBC-22	NOS	NOS	1	0	0	0	0	F	440	220	OTHERS	GOODS	N	03-Dec-13	03-Dec-13	ADMIN			2	0	5.5	440	10					I	vbc-22	134	Sagar
4349	5206	GRIP TOWEL YY	GRIP TOWEL YY	NOS	NOS	1	0	0	0	0	F	130	69	OTHERS	GOODS	N	03-Dec-13	03-Dec-13	ADMIN			0	0	5.5	130	5					I		0	
4348	5205	YOGA FOAM ROLLER-EPE	YOGA FOAM ROLLER-EPE	NOS	NOS	1	0	0	0	0	F	1670	835	FITNESS	KAMACHI	N	02-Dec-13	02-Dec-13	ADMIN			2	0	5.5	1670	10					I	epe	7	Vector x
4347	5204	GYM GLOVES VX-750	GYM GLOVES VX-750	NOS	NOS	1	0	0	0	0	F	780	390	FITNESS	N A	N	02-Dec-13	02-Dec-13	ADMIN			2	0	5.5	780	10					I	VX-750	7	Vector x
4346	5203	SKIP ROPE VXF-684/685	SKIP ROPE VXF-684	NOS	NOS	1	0	0	0	0	F	130	62	OTHERS	GOODS	N	02-Dec-13	02-Dec-13	ADMIN			2	0	5.5	130	10					I	VXF-684/VXF-685	7	Vector x
4345	5202	SKIP ROPE VX-700	SKIP ROPE VX-700	NOS	NOS	1	0	0	0	0	F	220	110	OTHERS	GOODS	N	02-Dec-13	02-Dec-13	ADMIN			2	0	5.5	220	10					I	vx-700/jf-1621	7	Vector x
4344	5201	MEGSHA STRINGING MAC 803	MEGSHA STRINGING MAC 803	SET	SET	1	0	0	0	0	F	98000	29000	OTHERS	GOODS	N	02-Dec-13	02-Dec-13	ADMIN			0	0	5.5	98000	0					I		0	
4343	5200	DUAL RES BAND JF-2103	DUAL RES BAND JF-2103	NOS	NOS	1	0	0	0	0	F	549	275	FITNESS	N A	N	02-Dec-13	02-Dec-13	ADMIN			0	0	5.5	549	10					I		0	
4342	5199	GOAL KEEPER GLOVES NIVIA 891	GOAL KEEPER GLOVES NIVIA 891	NOS	NOS	1	0	0	0	0	F	605	400	OTHERS	GOODS	N	02-Dec-13	02-Dec-13	ADMIN			0	0	5.5	605	5					I		0	
4341	5198	GOAL KEEPER GLOVES NIVIA 901	GOAL KEEPER GLOVES NIVIA 901	NOS	NOS	1	0	0	0	0	F	695	425	OTHERS	GOODS	N	02-Dec-13	02-Dec-13	ADMIN			0	0	5.5	695	5					I		0	
4340	5197	GOAL KEEPER GLOVES NIVIA 897	GOAL KEEPER GLOVES NIVIA 897	NOS	NOS	1	0	0	0	0	F	290	175	OTHERS	GOODS	N	02-Dec-13	02-Dec-13	ADMIN			0	0	5.5	290	5					I		0	
4339	5196	SQ TEC DYERGY POWER	SQ TEC DYERGY POWER	NOS	NOS	1	0	0	0	1	F	5199	2860	SQUASH RACKET	TECNIFIBRE SQ	N	30-Nov-13	30-Nov-13	ADMIN			2	0	5.5	5199	20					I	6003	8	
4338	716	WRIST SUPPORT 	WRIST SUPPORT 	NOS	NOS	1	0	0	0	0	F	130	58	SUPPORTS	YECHUN	N	29-Nov-13	29-Nov-13	ADMIN			0	0	5.5	130	15					I		0	
4337	5195	CR SET TRIUMPH GLORY 3	CR SET TRIUMPH GLORY 3	NOS	NOS	1	0	0	0	0	F	660	396	CRICKET	NS	N	29-Nov-13	29-Nov-13	ADMIN			0	0	5.5	660	10					I		0	
4336	5194	CR SET TRIUMPH GLORY 5	CR SET TRIUMPH GLORY 5	NOS	NOS	1	0	0	0	0	F	770	462	CRICKET	NS	N	29-Nov-13	29-Nov-13	ADMIN			0	0	5.5	770	10					I		0	
4335	5193	CR BAG TRIUMPH WHL CLUBKIT-400	CR BAG TRIUMPH WHL CLUBKIT-400	NOS	NOS	1	0	0	0	0	F	1560	900	CRICKET	SG	N	29-Nov-13	29-Nov-13	ADMIN			2	0	5.5	1560	10					I	CLUB KIT 400	0	
4334	5192	CR INNER GLOVES IN 300	CR INNER GLOVES IN 300	NOS	NOS	1	0	0	0	0	F	150	75	CRICKET	CRICKET PADS	N	29-Nov-13	29-Nov-13	ADMIN			2	0	5.5	150	10					I	IN 300	0	
4333	5191	KIT BAG TRIUMPH PRO-302	KIT BAG TRIUMPH PRO-302	NOS	NOS	1	0	0	0	0	F	540	270	OTHERS	GOODS	N	29-Nov-13	29-Nov-13	ADMIN			2	0	14.5	540	10					I	MB-302	0	
4332	5190	DART GAME 17 MAGN	DART GAME 17 MAGN	NOS	NOS	1	0	0	0	0	F	720	325	OTHERS	GOODS	N	28-Nov-13	28-Nov-13	ADMIN			0	0	5.5	720	10					I		0	
4331	5189	DART GAME 15 MAGN	DART GAME 15 MAGN	NOS	NOS	1	0	0	0	0	F	650	300	OTHERS	GOODS	N	28-Nov-13	28-Nov-13	ADMIN			0	0	5.5	650	10					I		0	
4330	5188	TRB AERO STORM	TRB AERO STORM	NOS	NOS	1	0	0	0	0	F	15000	5000	TENNIS RACKET	BABLOT	N	25-Nov-13	25-Nov-13	ADMIN			0	0	5.5	15000	25					I		0	
4329	5187	TENNIS COURT MARK TAPING COUGAR	TENNIS COURT MARK TAPING COUGAR	NOS	NOS	1	0	0	0	0	F	13000	6500	OTHERS	GOODS	N	25-Nov-13	25-Nov-13	ADMIN			2	0	5.5	13000	15					I		161	
4328	5186	STEPPER TRAIN TUBE COUGAR	STEPPER TRAIN TUBE COUGAR	NOS	NOS	1	0	0	0	0	F	2000	1000	OTHERS	GOODS	N	25-Nov-13	25-Nov-13	ADMIN			0	0	5.5	2000	15					I		0	
4327	5185	STEPPER PRO TUBE COUGAR	STEPPER PRO TUBE COUGAR	NOS	NOS	1	0	0	0	0	F	3000	1500	OTHERS	GOODS	N	25-Nov-13	25-Nov-13	ADMIN			2	0	5.5	3000	15					I		161	
4326	5184	STEPPER PRO COUGAR	STEPPER PRO COUGAR	NOS	NOS	1	0	0	0	0	F	2700	1350	OTHERS	GOODS	N	25-Nov-13	25-Nov-13	ADMIN			2	0	5.5	2700	15					I		161	
4325	5183	STEPPER TRAINING COUGAR	STEPPER TRAINING COUGAR	NOS	NOS	1	0	0	0	0	F	1600	800	OTHERS	GOODS	N	25-Nov-13	25-Nov-13	ADMIN			2	0	5.5	1600	15					I		161	
4324	5182	MULTI JUMPER	MULTI JUMPER	NOS	NOS	1	0	0	0	0	F	950	475	OTHERS	GOODS	N	25-Nov-13	25-Nov-13	ADMIN			2	0	5.5	950	10					I		161	
4323	5181	FITNESS TUBE EH	FITNESS TUBE EH	NOS	NOS	1	0	0	0	0	F	990	495	FITNESS	KAMACHI	N	25-Nov-13	25-Nov-13	ADMIN			2	0	5.5	990	10					I		161	
4322	5180	FITNESS TUBE M	FITNESS TUBE M	NOS	NOS	1	0	0	0	0	F	670	335	FITNESS	KAMACHI	N	25-Nov-13	25-Nov-13	ADMIN			2	0	5.5	670	10					I		161	
4321	5179	FITNESS TUBE H	FITNESS TUBE H	NOS	NOS	1	0	0	0	0	F	790	395	FITNESS	KAMACHI	N	25-Nov-13	25-Nov-13	ADMIN			2	0	5.5	790	10					I		161	
4320	5178	MY GYM COUGAR	MY GYM COUGAR	NOS	NOS	1	0	0	0	0	F	1600	800	FITNESS	KAMACHI	N	25-Nov-13	25-Nov-13	ADMIN			2	0	5.5	1600	10					I		161	
4319	5177	YOGA MAT 4 MM COUGAR	YOGA MAT 4 MM COUGAR	NOS	NOS	1	0	0	0	0	F	520	260	FITNESS	KAMACHI	N	25-Nov-13	25-Nov-13	ADMIN			0	0	5.5	520	10					I		0	
4318	5176	TM TURBUSTER 3500	TM TURBUSTER 3500	NOS	NOS	1	0	0	0	0	F	57000	21800	FITNESS	HERCULES	N	21-Nov-13	21-Nov-13	ADMIN			0	0	5.5	57000	20					I		0	
4317	5175	TROPHY J CUP-3	TROPHY J CUP-3	NOS	NOS	1	0	0	0	0	F	6200	2730	TROPHYS	TROPHY	N	21-Nov-13	21-Nov-13	ADMIN			0	0	5.5	6200	15					I		0	
4316	5174	TROPHY 367-1	TROPHY 367-1	NOS	NOS	1	0	0	0	1	F	6000	2800	TROPHYS	TROPHY	N	21-Nov-13	21-Nov-13	ADMIN			0	0	5.5	6000	20					I		0	
4315	5173	TROPHY 1118-3	TROPHY 1118-3	NOS	NOS	1	0	0	0	1	F	2800	1250	TROPHYS	TROPHY	N	21-Nov-13	21-Nov-13	ADMIN			0	0	5.5	2800	10					I		0	
4314	5172	TROPHY 906 B	TROPHY 906 B	NOS	NOS	1	0	0	0	1	F	5500	2150	TROPHYS	TROPHY	N	21-Nov-13	21-Nov-13	ADMIN			0	0	5.5	5500	10					I		0	
4313	5171	TROPHY 1310-2	TROPHY 1310-2	NOS	NOS	1	0	0	0	1	F	5200	2110	TROPHYS	TROPHY	N	21-Nov-13	21-Nov-13	ADMIN			0	0	5.5	5200	10					I		0	
4312	5170	TROPHY 1310-1	TROPHY 1310-1	NOS	NOS	1	0	0	0	1	F	4100	1650	TROPHYS	TROPHY	N	21-Nov-13	21-Nov-13	ADMIN			0	0	5.5	4100	10					I		0	
4311	5169	TROPHY N TAJ CUP 1	TROPHY N TAJ CUP 1	NOS	NOS	1	0	0	0	1	F	4100	1630	TROPHYS	TROPHY	N	21-Nov-13	21-Nov-13	ADMIN			0	0	5.5	4100	10					I		0	
4310	5168	TROPHY JH006-E	TROPHY JH006-E	NOS	NOS	1	0	0	0	1	F	3000	1490	TROPHYS	TROPHY	N	21-Nov-13	21-Nov-13	ADMIN			0	0	5.5	3000	10					I		0	
4309	5167	TRW K CRIMSON 	TRW K CRIMSON 	NOS	NOS	1	0	0	0	0	F	5499	3199	TENNIS RACKET	WILSON.	N	19-Nov-13	19-Nov-13	ADMIN			5.5	0	5.5	5499	15					I		0	wilson
4308	5166	HEEL CUSHION N	HEEL CUSHION N	NOS	NOS	1	0	0	0	0	F	200	55	SUPPORTS	LP SUPPORTS	N	19-Nov-13	19-Nov-13	ADMIN			2	0	5.5	200	10					I		8	NIVIA
4307	KS-585	KNEE SUPPORT NIVIA	KNEE SUPPORT NIVIA	NOS	NOS	1	0	0	0	0	S	450	225	SUPPORTS	LP SUPPORTS	N	19-Nov-13	19-Nov-13	ADMIN			2	0	5.5	450	8					I		8	NIVIA
4306	5165	SHOES NIVIA ENERGY	SHOES NIVIA ENERGY	PAIR	PAIR	1	0	0	0	1	F	1999	999	SHOE	LOTTO SHOES	N	19-Nov-13	19-Nov-13	ADMIN			2	0	14.5	1999	10					I		8	
4305	5164	SHOES NIVIA ZEAL	SHOES NIVIA ZEAL	PAIR	PAIR	1	0	0	0	1	F	1390	870	SHOE	LOTTO SHOES	N	19-Nov-13	19-Nov-13	ADMIN			2	0	5.5	1390	10					I		8	
4304	5163	SQ TEC DYERGY 117	SQ TEC DYERGY 117	NOS	NOS	1	0	0	0	1	F	9399	4699	SQUASH RACKET	TECNIFIBRE SQ	N	19-Nov-13	19-Nov-13	ADMIN			2	0	5.5	9399	20					I		8	TECHNIFIBRE
4303	5148	TRACKSUIT CENMAX 1299/-	TRACKSUIT CENMAX 1299/-	NOS	NOS	1	0	0	0	0	F	1299	699	GARMENTS	CENMAX	N	18-Nov-13	18-Nov-13	ADMIN			2	0	5.5	1299	15					I		15	Cenmax
4302	5162	THROW BALL NIVIA	THROW BALL NIVIA	NOS	NOS	1	0	0	0	0	F	699	359	OTHERS	GOODS	N	17-Nov-13	17-Nov-13	ADMIN			0	0	5.5	699	10					I		0	
4301	5161	CRWK GLOVES SG LEAGUE M	CRWK GLOVES SG LEAGUE M	NOS	NOS	1	0	0	0	0	F	1399	979	CRICKET	CRICKET PADS	N	17-Nov-13	17-Nov-13	ADMIN			0	0	5.5	1399	5					I		0	
4300	5160	CRBG SG S LEAGUE	CRBG SG S LEAGUE	NOS	NOS	1	0	0	0	0	F	999	699	CRICKET	SG	N	17-Nov-13	17-Nov-13	ADMIN			0	0	5.5	999	5					I		0	
4299	5159	FOOT BALL VEGA NIVIA	FOOT BALL VEGA NIVIA	NOS	NOS	1	0	0	0	0	F	715	407	VOLLY BALL	OTHERS V	N	17-Nov-13	17-Nov-13	ADMIN			0	0	5.5	715	10					I		0	
4298	5158	FOOT BALL CLASSIC NIVIA	FOOT BALL CLASSIC NIVIA	NOS	NOS	1	0	0	0	0	F	680	396	VOLLY BALL	OTHERS V	N	17-Nov-13	17-Nov-13	ADMIN			0	0	5.5	680	20					I		0	
4297	5157	VOLLEY BALL NIVIA MERGER	VOLLEY BALL NIVIA MERGER	NOS	NOS	1	0	0	0	0	F	690	412	VOLLY BALL	OTHERS V	N	17-Nov-13	17-Nov-13	ADMIN			0	0	5.5	690	10					I		0	
4296	5156	VOLLEY BALL NIVIA SS	VOLLEY BALL NIVIA SS	NOS	NOS	1	0	0	0	0	F	570	323	VOLLY BALL	OTHERS V	N	17-Nov-13	17-Nov-13	ADMIN			0	0	5.5	570	10					I		0	
4295	5155	SHORTS CENMAX	SHORTS CENMAX	NOS	NOS	1	0	0	0	0	F	425	320	GARMENTS	CENMAX	N	16-Nov-13	16-Nov-13	ADMIN			0	0	5.5	425	15					I		0	
4294	5154	T SHIRTS CENMAX	T SHIRTS CENMAX	NOS	NOS	1	0	0	0	0	F	645	450	GARMENTS	CENMAX	N	16-Nov-13	16-Nov-13	ADMIN			0	0	5.5	645	15					I		0	
4293	5153	T SHIRTS CENMAX	T SHIRTS CENMAX	NOS	NOS	1	0	0	0	0	F	615	450	GARMENTS	CENMAX	N	16-Nov-13	16-Nov-13	ADMIN			0	0	5.5	615	15					I		0	
4292	5152	TRACKSUIT CENMAX	TRACKSUIT CENMAX	NOS	NOS	1	0	0	0	0	F	2160	699	GARMENTS	CENMAX	N	16-Nov-13	16-Nov-13	ADMIN			0	0	5.5	2160	15					I		0	
4291	5151	TRACKSUIT CENMAX	TRACKSUIT CENMAX	NOS	NOS	1	0	0	0	0	F	1090	699	GARMENTS	CENMAX	N	16-Nov-13	16-Nov-13	ADMIN			0	0	5.5	1090	15					I		0	
4290	5150	TRACKSUIT CENMAX	TRACKSUIT CENMAX	NOS	NOS	1	0	0	0	0	F	1125	699	GARMENTS	CENMAX	N	16-Nov-13	16-Nov-13	ADMIN			0	0	5.5	1125	15					I		0	
4289	5149	TRACKSUIT CENMAX	TRACKSUIT CENMAX	NOS	NOS	1	0	0	0	0	F	1065	699	GARMENTS	CENMAX	N	16-Nov-13	16-Nov-13	ADMIN			0	0	5.5	1065	15					I		0	
4288	5147	SHORTS CENMAX	SHORTS CENMAX	NOS	NOS	1	0	0	0	0	F	615	450	GARMENTS	CENMAX	N	16-Nov-13	16-Nov-13	ADMIN			0	0	5.5	615	15					I		0	
4287	5146	SHORTS CENMAX	SHORTS CENMAX	NOS	NOS	1	0	0	0	0	F	690	450	GARMENTS	CENMAX	N	16-Nov-13	16-Nov-13	ADMIN			0	0	5.5	690	15					I		0	
4286	5145	SHORTS CENMAX	SHORTS CENMAX	NOS	NOS	1	0	0	0	0	F	645	450	GARMENTS	CENMAX	N	16-Nov-13	16-Nov-13	ADMIN			0	0	5.5	645	15					I		0	
